University_link,University_Name,Location,T.H.E.R (2018),Top.U.R(2018),U.S. News & World Report.R(2018)
https://www.bachelorsportal.com/universities/13583/the-university-of-akron.html,The University of Akron,"Akron, United States",-,-,375
https://www.bachelorsportal.com/universities/13090/lanzhou-university.html,Lanzhou University,"Lanzhou, China",-,-,376
https://www.bachelorsportal.com/universities/458/university-of-laquila.html,University of L´Aquila,"L’Aquila, Italy",-,-,379
https://www.bachelorsportal.com/universities/12136/worcester-polytechnic-institute.html,Worcester Polytechnic Institute,"Worcester, United States",-,-,384
https://www.bachelorsportal.com/universities/13185/university-of-quebec-in-montreal.html,University of Quebec in Montreal,"Montréal, Canada",-,-,388
https://www.bachelorsportal.com/universities/13437/shenzhen-university.html,Shenzhen University,"Shenzhen, China",-,-,389
https://www.bachelorsportal.com/universities/15425/firat-university.html,Firat University,"Elazig, Turkey",-,-,400
,South China Normal University,"Guangzhou, China",-,-,400
https://www.bachelorsportal.com/universities/14055/the-universidade-estadual-paulista.html,The Universidade Estadual Paulista (Unesp),"Bauru, Brazil",-,-,408
https://www.bachelorsportal.com/universities/11436/clarkson-university.html,Clarkson University,"Potsdam, United States",-,-,413
https://www.bachelorsportal.com/universities/316/university-of-poitiers.html,University of Poitiers,"Poitiers, France",-,-,413
https://www.bachelorsportal.com/universities/1508/university-of-agder.html,University of Agder,"Kristiansand, Norway",-,-,417
https://www.bachelorsportal.com/universities/13937/zhejiang-university-of-technology.html,Zhejiang University of Technology,"Hangzhou, China",-,-,425
https://www.bachelorsportal.com/universities/14506/ocean-university-of-china.html,Ocean University of China,"Qingdao, China",-,-,446
https://www.bachelorsportal.com/universities/10325/imt-atlantique-graduate-engineering-school.html,IMT Atlantique - Graduate Engineering School,"Nantes, France",-,-,449
https://www.bachelorsportal.com/universities/13931/guangdong-university-of-technology.html,Guangdong University of Technology,"Dasha, China",-,-,453
https://www.bachelorsportal.com/universities/15352/superior-technology-school.html,Superior Technology School,"Montréal, Canada",-,-,456
https://www.bachelorsportal.com/universities/12341/university-of-kentucky.html,University of Kentucky,"Lexington, United States",-,-,457
https://www.bachelorsportal.com/universities/17267/the-public-university-of-navarre.html,The Public University of Navarre,"Segundo Ensanche, Spain",-,-,461
https://www.bachelorsportal.com/universities/12011/university-of-nis.html,University of Nis,"Niš, Serbia",-,-,468
https://www.bachelorsportal.com/universities/13035/china-agricultural-university.html,China Agricultural University,"Beijing, China",-,-,474
https://www.bachelorsportal.com/universities/10796/university-of-nevada-reno.html,"University of Nevada, Reno","Reno, United States",-,-,477
https://www.bachelorsportal.com/universities/12332/university-of-guelph.html,University of Guelph,"Guelph, Canada",-,-,479
https://www.bachelorsportal.com/universities/11941/university-of-wyoming.html,University of Wyoming,"Laramie, United States",-,-,479
,Ege University,"Izmir, Turkey",-,-,485
https://www.bachelorsportal.com/universities/10798/west-virginia-university.html,West Virginia University,"Morgantown, United States",-,-,486
https://www.bachelorsportal.com/universities/409/the-university-of-oviedo.html,The University of Oviedo,"Oviedo, Spain",-,-,493
https://www.bachelorsportal.com/universities/11697/gazi-university.html,Gazi University,"Ankara, Turkey",-,-,498
https://www.bachelorsportal.com/universities/11828/oklahoma-state-university.html,Oklahoma State University,"Stillwater, United States",-,-,498
https://www.bachelorsportal.com/universities/13809/xiangtan-university.html,Xiangtan University,"Xiangtan, China",-,-,503
https://www.bachelorsportal.com/universities/14975/mansoura-university.html,Mansoura University,"Al Mansurah, Egypt",-,-,505
https://www.bachelorsportal.com/universities/1642/poznan-university-of-technology.html,Poznan University of Technology,"Poznan, Poland",-,-,505
https://www.bachelorsportal.com/universities/30/universit-nice-sophia-antipolis.html,Université Nice Sophia Antipolis,"Nice, France",-,-,505
https://www.bachelorsportal.com/universities/11880/kansas-state-university.html,Kansas State University,"Manhattan, United States",-,-,515
https://www.bachelorsportal.com/universities/15437/banaras-hindu-university.html,Banaras Hindu University,"Ramnagar, India",-,-,517
https://www.bachelorsportal.com/universities/12063/the-university-of-new-mexico.html,The University of New Mexico,"Albuquerque, United States",-,-,517
https://www.bachelorsportal.com/universities/794/gdansk-university-of-technology.html,Gdansk University of Technology,"Gdansk, Poland",-,-,524
https://www.bachelorsportal.com/universities/761/university-of-valladolid.html,University of Valladolid,"Valladolid, Spain",-,-,527
https://www.bachelorsportal.com/universities/14048/yuan-ze-university.html,Yuan Ze University,"Taoyuan City, Taiwan",-,-,527
https://www.bachelorsportal.com/universities/12100/rochester-institute-of-technology.html,Rochester Institute of Technology,"Rochester, United States",-,-,536
https://www.bachelorsportal.com/universities/13779/university-of-new-brunswick.html,University of New Brunswick,"Fredericton, Canada",-,-,536
https://www.bachelorsportal.com/universities/481/university-of-novi-sad.html,University of Novi Sad,"Novi Sad, Serbia",-,-,540
https://www.bachelorsportal.com/universities/433/university-of-rennes.html,University of Rennes,"Rennes, France",-,-,542
https://www.bachelorsportal.com/universities/14496/erciyes-university.html,Erciyes University,"Talas, Turkey",-,-,545
https://www.bachelorsportal.com/universities/15368/karadeniz-technical-university.html,Karadeniz Technical University,"Trabzon, Turkey",-,-,545
https://www.bachelorsportal.com/universities/1674/silesian-university-of-technology.html,Silesian University of Technology,"Gliwice, Poland",-,-,549
https://www.bachelorsportal.com/universities/13376/federal-university-of-paran.html,Federal University of Paraná,"Curitiba, Brazil",-,-,551
https://www.bachelorsportal.com/universities/13981/university-of-shanghai-for-science-and-technology.html,University of Shanghai for Science and Technology,"Shanghai, China",-,-,551
https://www.bachelorsportal.com/universities/13956/zhengzhou-university.html,Zhengzhou University,"Zhengzhou, China",-,-,554
https://www.bachelorsportal.com/universities/269/university-of-orleans.html,University of Orleans,"Olivet, France",-,-,555
https://www.bachelorsportal.com/universities/187/lodz-university-of-technology.html,Lodz University of Technology,"Lódz, Poland",-,-,559
https://www.bachelorsportal.com/universities/700/university-of-cordoba.html,University of Cordoba,"Cordova, Spain",-,-,559
https://www.bachelorsportal.com/universities/1109/university-of-udine.html,University of Udine,"Udine, Italy",-,-,562
https://www.bachelorsportal.com/universities/1769/ilmenau-university-of-technology.html,Ilmenau University of Technology,"Neuhaus, Germany",-,-,563
https://www.bachelorsportal.com/universities/15378/gyeongsang-national-university.html,Gyeongsang National University,"Jinju, South Korea",-,-,566
https://www.bachelorsportal.com/universities/15007/university-of-campania-luigi-vanvitelli.html,University of Campania “Luigi Vanvitelli”,"San Nicola la Strada, Italy",-,-,566
https://www.bachelorsportal.com/universities/243/jaume-i-university.html,Jaume I University,"Castellón de la Plana, Spain",-,-,566
